model,language,bucket,n_flags,tp,fp,precision,mean_entropy_overall,mean_entropy_tp,mean_entropy_fp
12b_nothinking,malayalam,0.8-1.0,38,9,29,0.24,,,
12b_nothinking,tamil,0.0-0.2,0,0,0,,,,
12b_nothinking,tamil,0.2-0.4,0,0,0,,,,
12b_nothinking,tamil,0.4-0.6,0,0,0,,,,
12b_nothinking,tamil,0.6-0.8,7,2,5,0.29,,,
12b_nothinking,tamil,0.8-1.0,33,12,21,0.36,,,
12b_nothinking,telugu,0.0-0.2,0,0,0,,,,
12b_nothinking,telugu,0.2-0.4,0,0,0,,,,
12b_nothinking,telugu,0.4-0.6,0,0,0,,,,
12b_nothinking,telugu,0.6-0.8,1,0,1,0.0,,,
12b_nothinking,telugu,0.8-1.0,37,15,22,0.41,,,
12b_nothinking,ALL,0.0-0.2,0,0,0,,,,
12b_nothinking,ALL,0.2-0.4,0,0,0,,,,
12b_nothinking,ALL,0.4-0.6,1,1,0,1.0,,,
12b_nothinking,ALL,0.6-0.8,16,4,12,0.25,,,
12b_nothinking,ALL,0.8-1.0,231,89,142,0.39,,,
e2b_conformer5s_text_nothinking,hindi,0.0-0.2,0,0,0,,,,
e2b_conformer5s_text_nothinking,hindi,0.2-0.4,0,0,0,,,,
e2b_conformer5s_text_nothinking,hindi,0.4-0.6,0,0,0,,,,
e2b_conformer5s_text_nothinking,hindi,0.6-0.8,9,3,6,0.33,0.01,0.01,0.01
e2b_conformer5s_text_nothinking,hindi,0.8-1.0,77,31,46,0.4,0.01,0.01,0.01
e2b_conformer5s_text_nothinking,kannada,0.0-0.2,0,0,0,,,,
e2b_conformer5s_text_nothinking,kannada,0.2-0.4,0,0,0,,,,
e2b_conformer5s_text_nothinking,kannada,0.4-0.6,0,0,0,,,,
e2b_conformer5s_text_nothinking,kannada,0.6-0.8,3,2,1,0.67,0.0,0.0,0.0
e2b_conformer5s_text_nothinking,kannada,0.8-1.0,37,15,22,0.41,0.0,0.01,0.0
e2b_conformer5s_text_nothinking,malayalam,0.0-0.2,0,0,0,,,,
e2b_conformer5s_text_nothinking,malayalam,0.2-0.4,0,0,0,,,,
e2b_conformer5s_text_nothinking,malayalam,0.4-0.6,0,0,0,,,,
e2b_conformer5s_text_nothinking,malayalam,0.6-0.8,8,1,7,0.12,0.01,0.0,0.02
e2b_conformer5s_text_nothinking,malayalam,0.8-1.0,31,10,21,0.32,0.01,0.01,0.01
e2b_conformer5s_text_nothinking,tamil,0.0-0.2,0,0,0,,,,
e2b_conformer5s_text_nothinking,tamil,0.2-0.4,0,0,0,,,,
e2b_conformer5s_text_nothinking,tamil,0.4-0.6,0,0,0,,,,
e2b_conformer5s_text_nothinking,tamil,0.6-0.8,6,1,5,0.17,0.0,0.01,0.0
e2b_conformer5s_text_nothinking,tamil,0.8-1.0,37,12,25,0.32,0.01,0.0,0.01
e2b_conformer5s_text_nothinking,telugu,0.0-0.2,0,0,0,,,,
e2b_conformer5s_text_nothinking,telugu,0.2-0.4,0,0,0,,,,
e2b_conformer5s_text_nothinking,telugu,0.4-0.6,3,0,3,0.0,0.0,,0.0
e2b_conformer5s_text_nothinking,telugu,0.6-0.8,7,3,4,0.43,0.0,0.0,0.01
e2b_conformer5s_text_nothinking,telugu,0.8-1.0,68,26,42,0.38,0.01,0.0,0.01
e2b_conformer5s_text_nothinking,ALL,0.0-0.2,0,0,0,,,,
e2b_conformer5s_text_nothinking,ALL,0.2-0.4,0,0,0,,,,
e2b_conformer5s_text_nothinking,ALL,0.4-0.6,3,0,3,0.0,0.0,,0.0
e2b_conformer5s_text_nothinking,ALL,0.6-0.8,33,10,23,0.3,0.01,0.0,0.01
e2b_conformer5s_text_nothinking,ALL,0.8-1.0,250,94,156,0.38,0.01,0.01,0.01
e4b_conformer5s_text_nothinking,hindi,0.0-0.2,0,0,0,,,,
e4b_conformer5s_text_nothinking,hindi,0.2-0.4,0,0,0,,,,
e4b_conformer5s_text_nothinking,hindi,0.4-0.6,0,0,0,,,,
e4b_conformer5s_text_nothinking,hindi,0.6-0.8,3,2,1,0.67,0.05,0.0,0.15
e4b_conformer5s_text_nothinking,hindi,0.8-1.0,45,23,22,0.51,0.02,0.02,0.03
e4b_conformer5s_text_nothinking,kannada,0.0-0.2,0,0,0,,,,
e4b_conformer5s_text_nothinking,kannada,0.2-0.4,0,0,0,,,,
e4b_conformer5s_text_nothinking,kannada,0.4-0.6,0,0,0,,,,
e4b_conformer5s_text_nothinking,kannada,0.6-0.8,0,0,0,,,,
e4b_conformer5s_text_nothinking,kannada,0.8-1.0,21,9,12,0.43,0.01,0.01,0.01
e4b_conformer5s_text_nothinking,malayalam,0.0-0.2,0,0,0,,,,
e4b_conformer5s_text_nothinking,malayalam,0.2-0.4,0,0,0,,,,
e4b_conformer5s_text_nothinking,malayalam,0.4-0.6,0,0,0,,,,
e4b_conformer5s_text_nothinking,malayalam,0.6-0.8,1,1,0,1.0,0.0,0.0,
e4b_conformer5s_text_nothinking,malayalam,0.8-1.0,11,5,6,0.45,0.02,0.02,0.02
e4b_conformer5s_text_nothinking,tamil,0.0-0.2,0,0,0,,,,
e4b_conformer5s_text_nothinking,tamil,0.2-0.4,0,0,0,,,,
e4b_conformer5s_text_nothinking,tamil,0.4-0.6,0,0,0,,,,
e4b_conformer5s_text_nothinking,tamil,0.6-0.8,2,0,2,0.0,0.01,,0.01
e4b_conformer5s_text_nothinking,tamil,0.8-1.0,21,9,12,0.43,0.02,0.01,0.03
e4b_conformer5s_text_nothinking,telugu,0.0-0.2,0,0,0,,,,
e4b_conformer5s_text_nothinking,telugu,0.2-0.4,0,0,0,,,,
e4b_conformer5s_text_nothinking,telugu,0.4-0.6,0,0,0,,,,
e4b_conformer5s_text_nothinking,telugu,0.6-0.8,1,0,1,0.0,0.03,,0.03
e4b_conformer5s_text_nothinking,telugu,0.8-1.0,37,15,22,0.41,0.02,0.01,0.03
e4b_conformer5s_text_nothinking,ALL,0.0-0.2,0,0,0,,,,
e4b_conformer5s_text_nothinking,ALL,0.2-0.4,0,0,0,,,,
e4b_conformer5s_text_nothinking,ALL,0.4-0.6,0,0,0,,,,
e4b_conformer5s_text_nothinking,ALL,0.6-0.8,7,3,4,0.43,0.03,0.0,0.05
e4b_conformer5s_text_nothinking,ALL,0.8-1.0,135,61,74,0.45,0.02,0.01,0.02
gemini-3.5-flash-lite,hindi,0.0-0.2,0,0,0,,,,
gemini-3.5-flash-lite,hindi,0.2-0.4,0,0,0,,,,
gemini-3.5-flash-lite,hindi,0.4-0.6,0,0,0,,,,
gemini-3.5-flash-lite,hindi,0.6-0.8,0,0,0,,,,
gemini-3.5-flash-lite,hindi,0.8-1.0,0,0,0,,,,
gemini-3.5-flash-lite,kannada,0.0-0.2,0,0,0,,,,
gemini-3.5-flash-lite,kannada,0.2-0.4,0,0,0,,,,
gemini-3.5-flash-lite,kannada,0.4-0.6,0,0,0,,,,
gemini-3.5-flash-lite,kannada,0.6-0.8,0,0,0,,,,
gemini-3.5-flash-lite,kannada,0.8-1.0,0,0,0,,,,
gemini-3.5-flash-lite,malayalam,0.0-0.2,0,0,0,,,,
gemini-3.5-flash-lite,malayalam,0.2-0.4,0,0,0,,,,
gemini-3.5-flash-lite,malayalam,0.4-0.6,0,0,0,,,,
gemini-3.5-flash-lite,malayalam,0.6-0.8,0,0,0,,,,
gemini-3.5-flash-lite,malayalam,0.8-1.0,0,0,0,,,,
gemini-3.5-flash-lite,tamil,0.0-0.2,0,0,0,,,,
gemini-3.5-flash-lite,tamil,0.2-0.4,0,0,0,,,,
gemini-3.5-flash-lite,tamil,0.4-0.6,0,0,0,,,,
gemini-3.5-flash-lite,tamil,0.6-0.8,0,0,0,,,,
gemini-3.5-flash-lite,tamil,0.8-1.0,0,0,0,,,,
gemini-3.5-flash-lite,telugu,0.0-0.2,0,0,0,,,,
gemini-3.5-flash-lite,telugu,0.2-0.4,0,0,0,,,,
gemini-3.5-flash-lite,telugu,0.4-0.6,0,0,0,,,,
gemini-3.5-flash-lite,telugu,0.6-0.8,0,0,0,,,,
gemini-3.5-flash-lite,telugu,0.8-1.0,0,0,0,,,,
gemini-3.5-flash-lite,ALL,0.0-0.2,0,0,0,,,,
gemini-3.5-flash-lite,ALL,0.2-0.4,0,0,0,,,,
gemini-3.5-flash-lite,ALL,0.4-0.6,0,0,0,,,,
gemini-3.5-flash-lite,ALL,0.6-0.8,0,0,0,,,,
gemini-3.5-flash-lite,ALL,0.8-1.0,0,0,0,,,,
