model,language,bucket,n_flags,tp,fp,precision,mean_entropy_overall,mean_entropy_tp,mean_entropy_fp
e2b_conformer5s_text_nothinking,tamil,0.6-0.8,4,1,3,0.25,0.01,0.0,0.01
e2b_conformer5s_text_nothinking,tamil,0.8-1.0,9,4,5,0.44,0.01,0.0,0.01
e2b_conformer5s_text_nothinking,telugu,0.0-0.2,2,0,2,0.0,0.03,,0.03
e2b_conformer5s_text_nothinking,telugu,0.2-0.4,5,1,4,0.2,0.0,0.0,0.0
e2b_conformer5s_text_nothinking,telugu,0.4-0.6,13,6,7,0.46,0.0,0.01,0.0
e2b_conformer5s_text_nothinking,telugu,0.6-0.8,10,3,7,0.3,0.01,0.01,0.01
e2b_conformer5s_text_nothinking,telugu,0.8-1.0,39,19,20,0.49,0.0,0.0,0.01
e2b_conformer5s_text_nothinking,ALL,0.0-0.2,13,0,13,0.0,0.02,,0.02
e2b_conformer5s_text_nothinking,ALL,0.2-0.4,17,3,14,0.18,0.0,0.0,0.0
e2b_conformer5s_text_nothinking,ALL,0.4-0.6,56,18,38,0.32,0.01,0.01,0.0
e2b_conformer5s_text_nothinking,ALL,0.6-0.8,32,8,24,0.25,0.01,0.0,0.01
e2b_conformer5s_text_nothinking,ALL,0.8-1.0,119,68,51,0.57,0.0,0.0,0.01
e4b_conformer5s_text_nothinking,hindi,0.0-0.2,0,0,0,,,,
e4b_conformer5s_text_nothinking,hindi,0.2-0.4,0,0,0,,,,
e4b_conformer5s_text_nothinking,hindi,0.4-0.6,2,0,2,0.0,0.07,,0.07
e4b_conformer5s_text_nothinking,hindi,0.6-0.8,3,0,3,0.0,0.06,,0.06
e4b_conformer5s_text_nothinking,hindi,0.8-1.0,43,25,18,0.58,0.02,0.02,0.02
e4b_conformer5s_text_nothinking,kannada,0.0-0.2,0,0,0,,,,
e4b_conformer5s_text_nothinking,kannada,0.2-0.4,0,0,0,,,,
e4b_conformer5s_text_nothinking,kannada,0.4-0.6,0,0,0,,,,
e4b_conformer5s_text_nothinking,kannada,0.6-0.8,0,0,0,,,,
e4b_conformer5s_text_nothinking,kannada,0.8-1.0,21,9,12,0.43,0.01,0.01,0.01
e4b_conformer5s_text_nothinking,malayalam,0.0-0.2,0,0,0,,,,
e4b_conformer5s_text_nothinking,malayalam,0.2-0.4,0,0,0,,,,
e4b_conformer5s_text_nothinking,malayalam,0.4-0.6,0,0,0,,,,
e4b_conformer5s_text_nothinking,malayalam,0.6-0.8,0,0,0,,,,
e4b_conformer5s_text_nothinking,malayalam,0.8-1.0,12,6,6,0.5,0.02,0.01,0.02
e4b_conformer5s_text_nothinking,tamil,0.0-0.2,0,0,0,,,,
e4b_conformer5s_text_nothinking,tamil,0.2-0.4,0,0,0,,,,
e4b_conformer5s_text_nothinking,tamil,0.4-0.6,1,0,1,0.0,0.01,,0.01
e4b_conformer5s_text_nothinking,tamil,0.6-0.8,6,2,4,0.33,0.01,0.01,0.01
