file_id,language,wer,cer,boundary_corruption_rate,policy_term_recall,real_time_factor
rec_audio_call_426201717_audio_1788955277234.mp3,hindi,0.6538461538461539,0.42168674698795183,0.16666666666666666,,0.016992017725880312
rec_audio_call_426201848_audio_1788955284435.mp3,hindi,0.5795454545454546,0.40390879478827363,0.6875,0.0,0.018552324317808715
rec_audio_call_426202468_audio_1788955343920.mp3,hindi,0.515625,0.32558139534883723,0.7647058823529411,,0.018977522400193476
rec_audio_call_426202822_audio_1788955375114.mp3,hindi,0.625,0.43275862068965515,0.6666666666666666,,0.01817034092038091
rec_audio_call_426202958_audio_1788955393853.mp3,hindi,0.5416666666666666,0.3761755485893417,0.8125,,0.023151762466051155
rec_audio_call_426203219_audio_1788955405537.mp3,hindi,0.3333333333333333,0.26744186046511625,0.3333333333333333,,0.022662458976865873
rec_audio_call_426203802_audio_1788955464104.mp3,hindi,0.4,0.29417670682730923,0.7692307692307693,,0.021704535484468993
rec_audio_call_426204124_audio_1788955491095.mp3,hindi,0.46733668341708545,0.30280649926144754,0.5625,1.0,0.017680265588345095
rec_audio_call_426204404_audio_1788955515816.mp3,hindi,1.3333333333333333,0.4166666666666667,1.0,,0.020927756284983726
rec_audio_call_426204463_audio_1788955521517.mp3,hindi,0.45524296675191817,0.3250936329588015,0.6060606060606061,,0.019480129849204716
rec_audio_call_426847860_audio_1789020585952.mp3,hindi,0.5588235294117647,0.42900302114803623,0.5,,0.02053732356328875
rec_audio_call_426848290_audio_1789020619592.mp3,hindi,0.7321428571428571,0.5502645502645502,0.7777777777777778,1.0,0.021778092162182437
rec_audio_call_426848321_audio_1789020622237.mp3,hindi,0.37362637362637363,0.2126537785588752,0.75,,0.02310438342275696
rec_audio_call_426848355_audio_1789020625114.mp3,hindi,0.6944444444444444,0.3277310924369748,0.8888888888888888,0.0,0.018270145544824996
rec_audio_call_426848440_audio_1789020630279.mp3,hindi,0.5142857142857142,0.3669724770642202,0.7142857142857143,,0.017692699486649224
rec_audio_call_426848640_audio_1789020645122.mp3,hindi,0.7105263157894737,0.47126436781609193,0.9,0.0,0.019878942073653184
rec_audio_call_426848943_audio_1789020668404.mp3,hindi,0.66,0.45555555555555555,0.7894736842105263,,0.021775056810314757
rec_audio_call_426849624_audio_1789020718433.mp3,hindi,0.6182795698924731,0.4991596638655462,0.52,0.0,0.02591709752196321
rec_audio_call_426849843_audio_1789020732404.mp3,hindi,0.2778702163061564,0.176,0.8494623655913979,,0.02170448483672132
rec_audio_call_426850383_audio_1789020772255.mp3,hindi,1.0,0.55,1.0,,0.027515356383359592
rec_audio_call_426851323_audio_1789020846081.mp3,hindi,1.0476190476190477,0.4878048780487805,0.7692307692307693,,0.020820365210850247
rec_audio_call_426851772_audio_1789020879921.mp3,hindi,0.5276752767527675,0.40245261984392416,0.5909090909090909,1.0,0.023204222972531007
rec_audio_call_426851856_audio_1789020892000.mp3,hindi,0.40636042402826855,0.2578680203045685,0.7333333333333333,,0.02074003880435719
rec_audio_call_426854007_audio_1789021052086.mp3,hindi,0.5981308411214953,0.430939226519337,0.6,,0.021570234916019126
rec_audio_call_426854157_audio_1789021067058.mp3,hindi,0.5245901639344263,0.4482758620689655,0.875,,0.022142566773520913
rec_audio_call_426883755_audio_1789023272654.mp3,hindi,1.0,0.25,0.6666666666666666,,0.022723069243205433
rec_audio_call_427029817_audio_1789033741551.mp3,hindi,0.75,0.3333333333333333,0.75,,0.022496316804804017
rec_audio_call_427302258_audio_1789057958698.mp3,hindi,1.2,0.3,0.4,,0.02103950199074273
rec_audio_call_427307060_audio_1789058304926.mp3,hindi,1.0,0.5925925925925926,0.8,,0.022228145943649733
rec_audio_call_427311569_audio_1789058616356.mp3,hindi,1.0,0.25,1.0,,0.021424117223099764
rec_audio_call_427314953_audio_1789058839016.mp3,hindi,0.9,0.7380952380952381,0.6,,0.02130685730545239
rec_default_426100823_audio_1788947551748.mp3,hindi,0.6511627906976745,0.5902777777777778,0.5,,0.017406480046895524
rec_default_426107316_audio_1788948009635.mp3,hindi,0.3,0.13333333333333333,1.0,,0.037006413589283034
rec_default_426107744_audio_1788948040810.mp3,hindi,0.4358974358974359,0.3197729422894986,0.6451612903225806,,0.020500998558699888
rec_default_426108828_audio_1788948111282.mp3,hindi,0.5733333333333334,0.3786008230452675,0.7857142857142857,1.0,0.018151503671640607
rec_default_426126463_audio_1788949378147.mp3,hindi,1.0,1.0,1.0,,0.02020717325050897
rec_default_426126833_audio_1788949400904.mp3,hindi,0.8611111111111112,0.6666666666666666,0.25,0.0,0.019622095267463134
rec_default_426127716_audio_1788949472727.mp3,hindi,0.42162162162162165,0.2762063227953411,0.7647058823529411,1.0,0.019228985266227266
rec_default_426194323_audio_1788954640272.mp3,hindi,0.8888888888888888,0.3333333333333333,0.8,,0.021278626547501612
rec_default_426195344_audio_1788954727902.mp3,hindi,0.30434782608695654,0.14193548387096774,0.6666666666666666,,0.025564234987298137
rec_default_426202313_audio_1788955333217.mp3,hindi,1.0,0.9967213114754099,0.0,,0.022226861801080588
rec_default_426204264_audio_1788955509025.mp3,hindi,2.0,0.5,0.0,,0.023121167885697815
rec_default_426204318_audio_1788955517179.mp3,hindi,0.46153846153846156,0.26104417670682734,0.8181818181818182,,0.031359887881131504
rec_default_426848660_audio_1789020643588.mp3,hindi,0.6473429951690821,0.5043988269794721,0.8571428571428571,,0.020327203428369616
rec_default_426851955_audio_1789020893146.mp3,hindi,0.5294117647058824,0.28846153846153844,1.0,,0.021267480847875397
rec_default_426853539_audio_1789021025445.mp3,hindi,0.65,0.5338983050847458,1.0,1.0,0.022841679067346736
rec_default_427012373_audio_1789032615035.mp3,hindi,1.0,0.8928571428571429,0.8888888888888888,,0.025600767635297516
rec_default_427038720_audio_1789034321734.mp3,hindi,1.3333333333333333,0.75,1.0,,0.021167813590907088
rec_default_427305556_audio_1789058198302.mp3,hindi,2.3333333333333335,0.5833333333333334,0.9230769230769231,,0.019126922440544602
